timestamp,git_commit,tag,device,package,speed,luts_used,luts_total,luts_pct,ffs_used,ffs_total,ffs_pct,bram_used,bram_total,bram_pct,fmax_mhz,target_mhz,timing_pass,source_log,notes
2026-07-21T17:47:09+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_clint_uart_t8,LFE5U-12F,BG256,8,9989,24288,41.13,4368,24288,17.98,8,56,14.29,68.01,25.00,yes,riscv-64/out/sim/microsoc_uart_timer_nextpnr.log,MicroSoc x64 + CLINT + UART; threads=8
2026-07-21T17:50:01+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_clint_uart_t32,LFE5U-12F,BG256,8,9989,24288,41.13,4368,24288,17.98,8,56,14.29,68.01,25.00,yes,riscv-64/out/sim/microsoc_uart_timer_nextpnr.log,MicroSoc x64 + CLINT + UART; threads=32
2026-07-21T17:51:03+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_t32,LFE5U-12F,BG256,8,8414,24288,34.64,3215,24288,13.24,2,56,3.57,54.56,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core x64 + 4KiB I-cache; threads=32
2026-07-21T17:52:05+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_t32,LFE5U-12F,BG256,8,9900,24288,40.76,4120,24288,16.96,10,56,17.86,89.93,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core x64 + 4KiB I-cache + 4KiB D-cache; threads=32
2026-07-21T17:53:20+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_t32,LFE5U-12F,BG256,8,10151,24288,41.79,4684,24288,19.29,14,56,25.00,72.24,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core x64 + i4k + d4k + btb + gshare + ras; threads=32
2026-07-21T17:55:26+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_dual_t32,LFE5U-12F,BG256,8,15928,24288,65.58,6311,24288,25.98,16,56,28.57,57.00,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core x64 + i4k + d4k + bpred + dual-issue; threads=32
2026-07-21T17:58:54+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_dual_clint_uart_t32,LFE5U-12F,BG256,8,18174,24288,74.83,7743,24288,31.88,24,56,42.86,64.13,25.00,yes,riscv-64/out/sim/microsoc_uart_cumulative_nextpnr.log,microsoc x64 + core stack + clint + uart; threads=32
2026-07-21T18:06:51+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_base_t32,LFE5U-12F,BG256,8,7933,24288,32.66,3014,24288,12.41,0,56,0.00,44.82,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive base; threads=32
2026-07-21T18:07:55+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_t32,LFE5U-12F,BG256,8,8414,24288,34.64,3215,24288,13.24,2,56,3.57,54.56,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k; threads=32
2026-07-21T18:09:04+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_t32,LFE5U-12F,BG256,8,9900,24288,40.76,4120,24288,16.96,10,56,17.86,89.93,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k; threads=32
2026-07-21T18:10:47+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_dual_t32,LFE5U-12F,BG256,8,14949,24288,61.55,5296,24288,21.81,10,56,17.86,71.55,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + dual; threads=32
2026-07-21T18:12:19+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_base_t32,LFE5U-12F,BG256,8,7933,24288,32.66,3014,24288,12.41,0,56,0.00,44.82,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive base; threads=32
2026-07-21T18:14:01+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_base_t32,LFE5U-12F,BG256,8,7933,24288,32.66,3014,24288,12.41,0,56,0.00,44.82,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive base; threads=32
2026-07-21T18:15:27+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_base_t32,LFE5U-12F,BG256,8,7933,24288,32.66,3014,24288,12.41,0,56,0.00,44.82,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive base; threads=32
2026-07-21T18:16:31+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_t32,LFE5U-12F,BG256,8,8414,24288,34.64,3215,24288,13.24,2,56,3.57,54.56,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k; threads=32
2026-07-21T18:17:44+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_t32,LFE5U-12F,BG256,8,9900,24288,40.76,4120,24288,16.96,10,56,17.86,89.93,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k; threads=32
2026-07-21T18:19:38+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_dual_t32,LFE5U-12F,BG256,8,14949,24288,61.55,5296,24288,21.81,10,56,17.86,71.55,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + dual; threads=32
2026-07-21T18:20:47+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_t32,LFE5U-12F,BG256,8,9875,24288,40.66,4451,24288,18.33,12,56,21.43,67.55,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb; threads=32
2026-07-21T18:23:09+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_dual_t32,LFE5U-12F,BG256,8,15337,24288,63.15,5894,24288,24.27,14,56,25.00,64.03,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + dual; threads=32
2026-07-21T18:24:23+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_ras_t32,LFE5U-12F,BG256,8,9962,24288,41.02,4493,24288,18.50,12,56,21.43,71.27,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + ras; threads=32
2026-07-21T18:25:34+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_t32,LFE5U-12F,BG256,8,10041,24288,41.34,4642,24288,19.11,14,56,25.00,63.73,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + gshare; threads=32
2026-07-21T18:27:33+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_ras_dual_t32,LFE5U-12F,BG256,8,15532,24288,63.95,5936,24288,24.44,14,56,25.00,61.77,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + ras + dual; threads=32
2026-07-21T18:29:42+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_dual_t32,LFE5U-12F,BG256,8,15657,24288,64.46,6269,24288,25.81,16,56,28.57,61.46,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + gshare + dual; threads=32
2026-07-21T18:31:07+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_t32,LFE5U-12F,BG256,8,10151,24288,41.79,4684,24288,19.29,14,56,25.00,72.24,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + gshare + ras; threads=32
2026-07-21T18:33:18+00:00,de8c256,core_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_dual_t32,LFE5U-12F,BG256,8,15928,24288,65.58,6311,24288,25.98,16,56,28.57,57.00,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + gshare + ras + dual; threads=32
2026-07-21T18:34:29+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_clint_uart_t32,LFE5U-12F,BG256,8,9989,24288,41.13,4368,24288,17.98,8,56,14.29,68.01,25.00,yes,riscv-64/out/sim/microsoc_exh_01_base_nextpnr.log,soc exhaustive base + clint + uart; threads=32
2026-07-21T18:35:39+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_clint_uart_t32,LFE5U-12F,BG256,8,10365,24288,42.68,4610,24288,18.98,10,56,17.86,74.02,25.00,yes,riscv-64/out/sim/microsoc_exh_02_i4k_nextpnr.log,soc exhaustive i4k + clint + uart; threads=32
2026-07-21T18:37:09+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_d4k_clint_uart_t32,LFE5U-12F,BG256,8,11503,24288,47.36,5280,24288,21.74,18,56,32.14,87.57,25.00,yes,riscv-64/out/sim/microsoc_exh_03_i4k_d4k_nextpnr.log,soc exhaustive i4k + d4k + clint + uart; threads=32
2026-07-21T18:39:32+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_d4k_dual_clint_uart_t32,LFE5U-12F,BG256,8,17298,24288,71.22,6562,24288,27.02,18,56,32.14,78.02,25.00,yes,riscv-64/out/sim/microsoc_exh_04_i4k_d4k_dual_nextpnr.log,soc exhaustive i4k + d4k + dual + clint + uart; threads=32
2026-07-21T18:41:06+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_clint_uart_t32,LFE5U-12F,BG256,8,12142,24288,49.99,5682,24288,23.39,20,56,35.71,73.40,25.00,yes,riscv-64/out/sim/microsoc_exh_05_i4k_d4k_btb_nextpnr.log,soc exhaustive i4k + d4k + btb + clint + uart; threads=32
2026-07-21T18:44:02+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_dual_clint_uart_t32,LFE5U-12F,BG256,8,18019,24288,74.19,7302,24288,30.06,22,56,39.29,63.86,25.00,yes,riscv-64/out/sim/microsoc_exh_06_i4k_d4k_btb_dual_nextpnr.log,soc exhaustive i4k + d4k + btb + dual + clint + uart; threads=32
2026-07-21T18:45:38+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_ras_clint_uart_t32,LFE5U-12F,BG256,8,12261,24288,50.48,5724,24288,23.57,20,56,35.71,77.18,25.00,yes,riscv-64/out/sim/microsoc_exh_07_i4k_d4k_btb_ras_nextpnr.log,soc exhaustive i4k + d4k + btb + ras + clint + uart; threads=32
2026-07-21T18:47:16+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_clint_uart_t32,LFE5U-12F,BG256,8,12195,24288,50.21,5877,24288,24.20,22,56,39.29,73.04,25.00,yes,riscv-64/out/sim/microsoc_exh_08_i4k_d4k_btb_gshare_nextpnr.log,soc exhaustive i4k + d4k + btb + gshare + clint + uart; threads=32
2026-07-21T18:50:11+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_ras_dual_clint_uart_t32,LFE5U-12F,BG256,8,17968,24288,73.98,7344,24288,30.24,22,56,39.29,66.07,25.00,yes,riscv-64/out/sim/microsoc_exh_09_i4k_d4k_btb_ras_dual_nextpnr.log,soc exhaustive i4k + d4k + btb + ras + dual + clint + uart; threads=32
2026-07-21T18:53:05+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_dual_clint_uart_t32,LFE5U-12F,BG256,8,18150,24288,74.73,7701,24288,31.71,24,56,42.86,66.29,25.00,yes,riscv-64/out/sim/microsoc_exh_10_i4k_d4k_btb_gshare_dual_nextpnr.log,soc exhaustive i4k + d4k + btb + gshare + dual + clint + uart; threads=32
2026-07-21T18:54:50+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_clint_uart_t32,LFE5U-12F,BG256,8,12771,24288,52.58,5919,24288,24.37,22,56,39.29,76.89,25.00,yes,riscv-64/out/sim/microsoc_exh_11_i4k_d4k_btb_gshare_ras_nextpnr.log,soc exhaustive i4k + d4k + btb + gshare + ras + clint + uart; threads=32
2026-07-21T18:58:14+00:00,de8c256,soc_x64_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_ras_dual_clint_uart_t32,LFE5U-12F,BG256,8,18174,24288,74.83,7743,24288,31.88,24,56,42.86,64.13,25.00,yes,riscv-64/out/sim/microsoc_exh_12_i4k_d4k_btb_gshare_ras_dual_nextpnr.log,soc exhaustive i4k + d4k + btb + gshare + ras + dual + clint + uart; threads=32
2026-07-21T23:07:58+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_base_t32,LFE5U-12F,BG256,8,4892,24288,20.14,1707,24288,7.03,0,56,0.00,49.25,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive base; threads=32
2026-07-21T23:08:25+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_t32,LFE5U-12F,BG256,8,5265,24288,21.68,1901,24288,7.83,2,56,3.57,52.87,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k; threads=32
2026-07-21T23:08:54+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_t32,LFE5U-12F,BG256,8,6382,24288,26.28,2555,24288,10.52,6,56,10.71,84.60,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k; threads=32
2026-07-21T23:09:42+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_dual_t32,LFE5U-12F,BG256,8,9722,24288,40.03,3342,24288,13.76,6,56,10.71,70.81,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + dual; threads=32
2026-07-21T23:10:17+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_t32,LFE5U-12F,BG256,8,6618,24288,27.25,2837,24288,11.68,8,56,14.29,67.46,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb; threads=32
2026-07-21T23:11:20+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_dual_t32,LFE5U-12F,BG256,8,10197,24288,41.98,3856,24288,15.88,10,56,17.86,58.42,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + dual; threads=32
2026-07-21T23:12:02+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_ras_t32,LFE5U-12F,BG256,8,6622,24288,27.26,2872,24288,11.82,8,56,14.29,63.12,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + ras; threads=32
2026-07-21T23:12:45+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_gshare_t32,LFE5U-12F,BG256,8,6916,24288,28.47,3028,24288,12.47,10,56,17.86,66.26,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + gshare; threads=32
2026-07-21T23:13:48+00:00,de8c256,core_x32_sv_rvm_rvc_rdtime_i4k_d4k_btb_ras_dual_t32,LFE5U-12F,BG256,8,10328,24288,42.52,3891,24288,16.02,10,56,17.86,65.32,25.00,yes,riscv-64/out/sim/vexii_ecp5_nextpnr.log,core exhaustive i4k + d4k + btb + ras + dual; threads=32
